index,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,price
228,Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,-1,-1,-1,main course,Assam,North East,78
229,Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,-1,main course,Assam,North East,30
230,Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,-1,-1,-1,main course,Manipur,North East,78
231,Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,-1,-1,spicy,main course,Assam,North East,78
232,Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,-1,main course,-1,-1,40
233,Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,West Bengal,East,50
234,Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,West Bengal,East,80
235,Hando Guri,"Jaggery, raisins",vegetarian,-1,-1,sweet,dessert,Assam,North East,78
236,Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,spicy,main course,Assam,North East,60
237,Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,-1,main course,West Bengal,East,45
238,Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,-1,-1,spicy,main course,West Bengal,East,78
239,Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,-1,-1,spicy,main course,Assam,North East,78
240,Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,-1,-1,spicy,main course,Assam,North East,78
241,Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non vegetarian,-1,-1,spicy,main course,Assam,North East,78
242,Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,-1,-1,spicy,main course,Assam,North East,78
243,Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,-1,-1,spicy,main course,Assam,North East,78
244,Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East,40
245,Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,-1,-1,-1,main course,Odisha,East,78
246,Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,-1,main course,Assam,North East,30
247,Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,-1,-1,sweet,dessert,Assam,North East,78
248,Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,West Bengal,East,65
249,Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,-1,-1,main course,-1,-1,78
250,Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East,30
251,Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East,35
252,Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West,80
253,Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,-1,-1,sweet,dessert,Jammu & Kashmir,North,78
254,Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,Madhya Pradesh,Central,65
255,Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,-1,-1,sweet,dessert,Goa,West,78
256,dessertap,-1,-1,-1,-1,-1,dessert,Andhra Pradesh,-1,78
257,snackap,-1,-1,-1,-1,-1,snack,Andhra Pradesh,-1,78
258,dessertas,-1,-1,-1,-1,-1,dessert,Assam,-1,78
259,main courseas,-1,-1,-1,-1,-1,main course,Assam,-1,78
260,dessertbr,-1,-1,-1,-1,-1,dessert,Bihar,-1,78
261,main coursebr,-1,-1,-1,-1,-1,main course,Bihar,-1,78
262,snackcg,-1,-1,-1,-1,-1,snack,Chhattisgarh,-1,78
263,main coursega,-1,-1,-1,-1,-1,main course,Goa,-1,78
264,dessertga,-1,-1,-1,-1,-1,dessert,Goa,-1,78
265,dessertgj,-1,-1,-1,-1,-1,dessert,Gujarat,-1,78
266,main coursegj,-1,-1,-1,-1,-1,main course,Gujarat,-1,78
267,snackgj,-1,-1,-1,-1,-1,snack,Gujarat,-1,78
268,main coursehr,-1,-1,-1,-1,-1,main course,Haryana,-1,78
269,main coursejk,-1,-1,-1,-1,-1,main course,Jammu & Kashmir,-1,78
270,dessertjk,-1,-1,-1,-1,-1,dessert,Jammu & Kashmir,-1,78
271,dessertka,-1,-1,-1,-1,-1,dessert,Karnataka,-1,78
272,main courseka,-1,-1,-1,-1,-1,main course,Karnataka,-1,78
273,main coursekl,-1,-1,-1,-1,-1,main course,Kerala,-1,78
274,dessertkl,-1,-1,-1,-1,-1,dessert,Kerala,-1,78
275,snackkl,-1,-1,-1,-1,-1,snack,Kerala,-1,78
276,dessertmp,-1,-1,-1,-1,-1,dessert,Madhya Pradesh,-1,78
277,main coursemp,-1,-1,-1,-1,-1,main course,Madhya Pradesh,-1,78
278,dessertmh,-1,-1,-1,-1,-1,dessert,Maharashtra,-1,78
279,main coursemh,-1,-1,-1,-1,-1,main course,Maharashtra,-1,78
280,snackmh,-1,-1,-1,-1,-1,snack,Maharashtra,-1,78
281,dessertmn,-1,-1,-1,-1,-1,dessert,Manipur,-1,78
282,main coursemn,-1,-1,-1,-1,-1,main course,Manipur,-1,78
283,main coursenl,-1,-1,-1,-1,-1,main course,Nagaland,-1,78
284,main coursedl,-1,-1,-1,-1,-1,main course,NCT of Delhi,-1,78
285,dessertor,-1,-1,-1,-1,-1,dessert,Odisha,-1,78
286,main courseor,-1,-1,-1,-1,-1,main course,Odisha,-1,78
289,dessertpb,-1,-1,-1,-1,-1,dessert,Punjab,-1,78
290,main coursepb,-1,-1,-1,-1,-1,main course,Punjab,-1,78
291,starterpb,-1,-1,-1,-1,-1,starter,Punjab,-1,78
292,dessertrj,-1,-1,-1,-1,-1,dessert,Rajasthan,-1,78
293,main courserj,-1,-1,-1,-1,-1,main course,Rajasthan,-1,78
294,desserttn,-1,-1,-1,-1,-1,dessert,Tamil Nadu,-1,78
295,main coursetn,-1,-1,-1,-1,-1,main course,Tamil Nadu,-1,78
296,snacktn,-1,-1,-1,-1,-1,snack,Tamil Nadu,-1,78
297,dessertts,-1,-1,-1,-1,-1,dessert,Telangana,-1,78
298,snackts,-1,-1,-1,-1,-1,main course,Telangana,-1,78
299,main coursetr,-1,-1,-1,-1,-1,main course,Tripura,-1,78
300,dessertup,-1,-1,-1,-1,-1,dessert,Uttar Pradesh,-1,78
301,main courseup,-1,-1,-1,-1,-1,main course,Uttar Pradesh,-1,78
302,snackup,-1,-1,-1,-1,-1,snack,Uttar Pradesh,-1,78
303,dessertuk,-1,-1,-1,-1,-1,dessert,Uttarakhand,-1,78
304,dessertwb,-1,-1,-1,-1,-1,dessert,West Bengal,-1,78
305,main coursewb,-1,-1,-1,-1,-1,main course,West Bengal,-1,78
